Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Y,Pb
0,3.71984,0.339283,11.8681,0.285241,13.9418,0.0566061,0.00453079,0.00872801,0.00932755,0.688683,0.00488537,0.0186259,0.015018,0.0130901,0.098875,0.0283158,0.05003597
0.02,2.72245,0.0783594,11.5373,0.337134,14.1113,0.0692617,0.004596,0.00658419,0.00889792,0.774476,0.00401763,0.0194415,0.0158522,0.0129918,0.0872467,0.0185428,0.08571971
