Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Y,Pb
0,3.57454,0.264218,10.2796,0.420442,11.86,0.070763,0.00258643,0.00323444,0.00812114,0.678726,0.00487952,0.00919924,0.0202656,0.0315802,0.128107,0.0280792,0.09652489
0.02,1.36624,0.0918782,10.7158,0.437264,12.8782,0.0904823,0.00177649,0.00799073,0.00957164,0.798267,0.00692928,0.00932492,0.0239255,0.0281367,0.136172,0.0351988,0.1365159
