Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Y,Pb
0,5.90679,0.601876,8.30945,0.38474,13.2243,0.107033,0.00217746,0.00703208,0.0161316,1.55415,0.00611363,0.0406047,0.03396,0.01258,0.182217,0.039202,0.29704722
0.02,4.83792,0.0691413,7.0357,0.387766,13.0789,0.108978,0.00472357,0.00945023,0.0170506,1.60149,0.00849523,0.0371326,0.0344938,0.0253774,0.169905,0.0401799,0.329742661
