Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Pb
0,5.92916,0.14586,6.2731,0.571586,7.84977,0.0394987,0.0059364,0.00372443,0.0157423,0.592589,0.00590518,0.0064319,0.0486407,0.0146797,0.215811,1.8311545
0.02,4.88325,1.0727,7.25634,0.837592,9.36163,0.0476673,0.00809151,0.00202322,0.0191923,0.733142,0.00433359,0.00767252,0.0484374,0.015852,0.236391,1.8679545
