Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Y,Pb
0,5.50307,0.148136,13.8697,0.166687,18.6337,0.0185604,0.000788984,0.0044907,0.0115409,0.414579,0.00478607,0.00966723,0.0194888,0.0168483,0.298889,0.018818,0.08412637
0.02,4.95641,1.10824,14.4187,0.147823,19.1369,0.016473,0.00538919,0.00376907,0.0110054,0.42147,0.00569913,0.00939501,0.0180958,0.0175809,0.321636,0.0224323,0.1005051
