Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Y,Pb
0,9.38388,1.84798,14.2987,0.449651,18.4273,0.071413,0.00560455,0.0106983,0.0153121,1.38504,0.00551842,0.0152451,0.0167842,0.0202557,0.0889765,0.0233348,0.1076357
0.02,4.32254,0.735701,15.6302,0.549213,21.6748,0.0722448,0.00713062,0.00953064,0.0162351,1.66505,0.00540576,0.0166579,0.0152892,0.0197717,0.0789442,0.0349284,0.11207699
