Distance from surface,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Sr,Y,Pb
0,6.7527,0.188566,11.1397,0.256877,12.835,0.0286387,0.00450315,0.00330233,0.00753419,0.781586,0.00477415,0.0194929,0.0140652,0.0996916,0.0483195,0.2259017
0.02,9.29353,0.529394,10.7492,0.211276,12.6813,0.0340981,0.00483415,0.00132666,0.00748241,0.718131,0.00399187,0.0339103,0.0124357,0.10818,0.035909,0.2192589
